BAIRRO,MARCA_OBJETO,DIA_SEMANA,PERIODO,IDADE,SEXO
PARQUE CISPER,Samsung,SABADO,TARDE,25,MULHER
CAMPO GRANDE,Outros,QUINTA,TARDE,58,HOMEM
PARQUE DO CARMO,Motorola,SEXTA,MADRUGADA,42,MULHER
SAO MATEUS,Samsung,TERCA,NOITE,33,MULHER
SANTANA,Samsung,QUINTA,NOITE,51,MULHER
CAMPO BELO,Samsung,QUARTA,MANHA,28,MULHER
CIDADE DUTRA,Samsung,TERCA,NOITE,15,MULHER
SAPOPEMBA,Apple,SEGUNDA,MADRUGADA,16,MULHER
BOM RETIRO,Apple,DOMINGO,MADRUGADA,47,MULHER
VILA REGENTE FEIJO,Apple,SABADO,NOITE,21,MULHER
CERQUEIRA CESAR,Motorola,TERCA,MANHA,43,HOMEM
INTERLAGOS,Samsung,QUINTA,MADRUGADA,52,HOMEM
BOM RETIRO,Motorola,SEXTA,NOITE,26,HOMEM
VILA PRUDENTE,Samsung,SEGUNDA,MANHA,16,MULHER
TUCURUVI,Xiaomi,QUINTA,TARDE,29,HOMEM
VILA JARAGUA,Outros,QUARTA,NOITE,37,MULHER
TREMEMBE,Samsung,QUARTA,TARDE,53,MULHER
BUTANTA,Samsung,TERCA,NOITE,80,HOMEM
SAO MIGUEL,Samsung,DOMINGO,NOITE,55,MULHER
LIBERDADE,Samsung,SABADO,NOITE,26,HOMEM
PARQUE ANHANGUERA,Samsung,SEXTA,NOITE,72,MULHER
MOOCA,Samsung,SEXTA,NOITE,32,HOMEM
REPUBLICA,Motorola,SEGUNDA,TARDE,47,MULHER
VILA ANDRADE,Samsung,SEXTA,NOITE,43,MULHER
TUCURUVI,Xiaomi,QUINTA,NOITE,23,MULHER
CIDADE LIDER,Samsung,TERCA,TARDE,19,MULHER
CAPAO REDONDO,Samsung,TERCA,NOITE,26,HOMEM
CIDADE ADEMAR,Samsung,TERCA,MANHA,81,MULHER
CAMPO BELO,Xiaomi,SABADO,TARDE,46,MULHER
LIBERDADE,Apple,SABADO,NOITE,70,MULHER
ARTUR ALVIM,Samsung,SABADO,NOITE,23,MULHER
GUAIANZES,Samsung,TERCA,MADRUGADA,36,MULHER
VILA FANTON,Motorola,QUINTA,MANHA,64,HOMEM
VILA CURUCA,Samsung,QUARTA,TARDE,23,MULHER
ITAQUERA,Apple,SEXTA,MANHA,23,HOMEM
CASA VERDE,Apple,SABADO,MADRUGADA,33,MULHER
CAMPO LIMPO,Samsung,SABADO,NOITE,30,MULHER
REPUBLICA,Apple,SABADO,NOITE,34,HOMEM
PARADA INGLESA,Apple,SEGUNDA,MANHA,83,HOMEM
SAO LUCAS,Samsung,TERCA,NOITE,48,MULHER
CAMPOS ELISEOS,Outros,QUINTA,MANHA,18,HOMEM
CIDADE LIDER,Samsung,QUINTA,NOITE,47,MULHER
CIDADE AUXILIADORA,Motorola,QUARTA,TARDE,28,MULHER
BRAS,Motorola,SEGUNDA,MANHA,38,MULHER
JARDIM NAKAMURA,Motorola,SABADO,NOITE,49,MULHER
SANTANA,Samsung,TERCA,TARDE,69,MULHER
TREMEMBE,Motorola,SABADO,NOITE,56,MULHER
TATUAPE,Apple,SEGUNDA,TARDE,19,MULHER
VILA NOVA GALVAO,Samsung,QUINTA,NOITE,50,MULHER
IMIRIM,Samsung,QUINTA,NOITE,49,HOMEM
JARDIM NOSSA SENHORA DO CARMO,Apple,SEXTA,TARDE,35,MULHER
JARDIM PAULISTA,Xiaomi,DOMINGO,NOITE,53,HOMEM
VILA ANDRADE,Motorola,DOMINGO,TARDE,58,MULHER
CAPAO REDONDO,Motorola,SEXTA,MANHA,65,HOMEM
CENTRO HISTORICO DE SAO PAULO,Apple,DOMINGO,NOITE,31,MULHER
BUTANTA,Apple,QUARTA,TARDE,15,MULHER
AGUA RASA,Samsung,SABADO,TARDE,23,MULHER
BELA VISTA,Samsung,DOMINGO,MADRUGADA,53,MULHER
PENHA,Asus,SABADO,NOITE,41,MULHER
LIBERDADE,Motorola,DOMINGO,TARDE,36,MULHER
ITAQUERA,Samsung,QUINTA,TARDE,30,HOMEM
SACOMA,Samsung,QUARTA,NOITE,30,MULHER
SAO LUCAS,Asus,SEXTA,MADRUGADA,70,HOMEM
BRAS,Apple,SEGUNDA,TARDE,21,HOMEM
JARDIM DA CONQUISTA,Xiaomi,SABADO,MADRUGADA,37,MULHER
ARTUR ALVIM,Apple,TERCA,MADRUGADA,35,MULHER
JARDIM PAULISTA,Apple,QUINTA,NOITE,49,HOMEM
JARDIM ANGELA,Xiaomi,SABADO,MANHA,19,MULHER
IGUATEMI,Outros,QUARTA,NOITE,25,MULHER
JARDIM BOA VISTA(ANHANGUERA),Xiaomi,QUINTA,NOITE,23,MULHER
VILA FORMOSA,Apple,SEXTA,MANHA,26,HOMEM
JARDIM MARIA FERNANDES,Samsung,SEGUNDA,NOITE,34,HOMEM
ARICANDUVA,Samsung,DOMINGO,MADRUGADA,18,MULHER
MOOCA,Apple,TERCA,TARDE,20,HOMEM
MOOCA,Apple,SABADO,TARDE,32,MULHER
TATUAPE,Apple,DOMINGO,NOITE,49,MULHER
PIRITUBA,Motorola,SEXTA,NOITE,84,MULHER
JD SAO LUIS,Apple,QUARTA,NOITE,25,MULHER
BRAS,Apple,SEGUNDA,TARDE,15,HOMEM
BRAS,Samsung,SEXTA,TARDE,37,HOMEM
JARDIM TRES MARIAS,Motorola,SABADO,MADRUGADA,47,MULHER
FREGUESIA DO O,Apple,QUINTA,MADRUGADA,18,HOMEM
VILA GUILHERME,Apple,SABADO,MADRUGADA,54,HOMEM
LAPA,Motorola,SEGUNDA,TARDE,34,HOMEM
SACOMA,Apple,QUARTA,MANHA,44,HOMEM
ERMELINO MATARAZZO,Samsung,QUARTA,NOITE,42,HOMEM
JARDIM SANTA LUCRECIA,Apple,TERCA,TARDE,45,HOMEM
ITAIM BIBI,Apple,QUINTA,TARDE,27,MULHER
PARI,Apple,DOMINGO,MANHA,34,MULHER
CAPAO REDONDO,Samsung,SEXTA,NOITE,20,MULHER
SAPOPEMBA,Motorola,QUARTA,NOITE,26,HOMEM
VILA MARIA,Apple,SABADO,NOITE,41,MULHER
GRAJAU,Samsung,SABADO,MADRUGADA,48,HOMEM
LAJEADO,Apple,QUARTA,NOITE,27,HOMEM
PINHEIROS,Samsung,QUARTA,MANHA,32,MULHER
CAMPO LIMPO,LG,QUINTA,NOITE,35,HOMEM
BRAS,Samsung,SABADO,NOITE,32,HOMEM
JARDIM COLINA,Samsung,TERCA,NOITE,51,MULHER
BRASILANDIA,Motorola,DOMINGO,NOITE,29,HOMEM
CAMPOS ELISEOS,Xiaomi,TERCA,TARDE,29,MULHER
SE,Apple,TERCA,NOITE,35,MULHER
CIDADE ADEMAR,Motorola,TERCA,NOITE,28,HOMEM
VILA CURUCA,Samsung,SEGUNDA,NOITE,31,MULHER
PINHEIROS,Apple,DOMINGO,MADRUGADA,34,MULHER
VILA ALPINA,Apple,SEXTA,TARDE,33,HOMEM
JOSE BONIFACIO,Motorola,DOMINGO,NOITE,43,MULHER
TREMEMBE,Outros,SEXTA,MADRUGADA,50,HOMEM
REPUBLICA,Samsung,SEXTA,NOITE,33,MULHER
BELA VISTA,Samsung,SABADO,MANHA,19,HOMEM
ITAQUERA,Samsung,QUINTA,MANHA,31,MULHER
LIBERDADE,Outros,QUINTA,NOITE,54,HOMEM
ITAIM PAULISTA,Motorola,QUARTA,NOITE,69,HOMEM
BUTANTA,Apple,SEGUNDA,NOITE,31,MULHER
SANTA CECILIA,Apple,QUINTA,NOITE,26,HOMEM
VILA MIRIAM,Samsung,QUARTA,NOITE,26,MULHER
GUAIANASES,Motorola,SEXTA,NOITE,48,MULHER
JARDIM PAULISTA,Xiaomi,SABADO,MANHA,50,HOMEM
JARDIM FONTE DO MORUMBI,Samsung,DOMINGO,NOITE,35,HOMEM
MOEMA,Samsung,SEXTA,NOITE,16,HOMEM
CENTRO,Xiaomi,QUINTA,MANHA,21,MULHER
REPUBLICA,Motorola,QUINTA,TARDE,34,HOMEM
CAMPO LIMPO,Motorola,QUINTA,TARDE,63,MULHER
JARDIM PAULISTA,Apple,DOMINGO,TARDE,37,MULHER
MOEMA,Motorola,DOMINGO,MADRUGADA,34,HOMEM
PEDREIRA,Motorola,QUINTA,TARDE,49,MULHER
JARDIM ROBRU,Motorola,QUINTA,MADRUGADA,26,MULHER
MOEMA,Samsung,QUARTA,NOITE,19,MULHER
JABAQUARA,Motorola,SEGUNDA,NOITE,34,HOMEM
CONSOLACAO,Samsung,TERCA,NOITE,22,MULHER
ITAQUERA,Apple,DOMINGO,MADRUGADA,56,HOMEM
ACLIMACAO,Outros,TERCA,MANHA,19,MULHER
VILA MARIANA,Motorola,TERCA,MANHA,22,MULHER
CHACARA INGLESA,Samsung,SEXTA,NOITE,51,MULHER
MORUMBI,Samsung,QUARTA,MANHA,21,MULHER
TUCURUVI,Apple,SABADO,TARDE,15,HOMEM
LAPA,Apple,SEXTA,NOITE,36,MULHER
BELA VISTA,Motorola,QUINTA,NOITE,37,HOMEM
CUPECE,Samsung,SABADO,MANHA,77,HOMEM
GUAIANASES,Motorola,SEGUNDA,TARDE,48,MULHER
FAZENDA MORUMBI,Samsung,SEGUNDA,NOITE,52,HOMEM
REPUBLICA,Samsung,QUINTA,NOITE,19,MULHER
IPIRANGA,Apple,SABADO,TARDE,30,HOMEM
MOOCA,Motorola,SEXTA,TARDE,22,MULHER
IPIRANGA,Samsung,SABADO,NOITE,33,MULHER
JARDIM PAULISTA,Samsung,QUINTA,TARDE,18,MULHER
CIDADE LIDER,Samsung,QUARTA,TARDE,46,HOMEM
SAUDE,Outros,TERCA,TARDE,18,MULHER
CAPAO REDONDO,Apple,TERCA,NOITE,15,MULHER
JACANA,Samsung,QUARTA,TARDE,19,HOMEM
VILA DOM PEDRO I,Motorola,SABADO,TARDE,15,HOMEM
CAMBUCI,Motorola,QUINTA,MANHA,26,MULHER
IPIRANGA,Apple,SEGUNDA,MANHA,16,MULHER
JOSE BONIFACIO,Samsung,SEXTA,MADRUGADA,34,MULHER
SANTA IFIGENIA,Samsung,QUINTA,MANHA,76,HOMEM
JARDIM PAULISTANO (ZONA NORTE),Samsung,QUARTA,MANHA,37,HOMEM
ITAQUERA,Apple,SEXTA,NOITE,21,MULHER
ITAIM PAULISTA,Apple,TERCA,TARDE,41,HOMEM
BRAS,Apple,QUARTA,NOITE,28,MULHER
VILA BELA,Samsung,QUARTA,MANHA,30,MULHER
PARQUE DO LAGO,Positivo,QUINTA,NOITE,19,HOMEM
ITAIM BIBI,Xiaomi,TERCA,NOITE,50,HOMEM
JARDIM BONFIGLIOLI,Motorola,SEXTA,TARDE,48,HOMEM
SANTA CECILIA,Motorola,DOMINGO,TARDE,22,HOMEM
SE,Samsung,SEGUNDA,MANHA,30,MULHER
PARQUE SANTA BARBARA,Motorola,QUARTA,NOITE,34,HOMEM
BARRA FUNDA,Apple,DOMINGO,MADRUGADA,28,MULHER
SAO MIGUEL,Apple,SEGUNDA,MADRUGADA,31,HOMEM
JARDIM PAULISTA,Apple,QUARTA,NOITE,48,HOMEM
BELEM,Apple,SEXTA,NOITE,53,HOMEM
SE,Apple,QUINTA,NOITE,31,HOMEM
CIDADE DUTRA,Motorola,SEXTA,MANHA,35,MULHER
ITAIM PAULISTA,Outros,SEGUNDA,MANHA,19,HOMEM
CAMPO BELO,Xiaomi,QUINTA,MANHA,16,HOMEM
LIBERDADE,Motorola,QUARTA,NOITE,27,HOMEM
JARDIM COLINA,Apple,SABADO,NOITE,40,HOMEM
MOOCA,Motorola,SEXTA,TARDE,73,HOMEM
VILA ALMEIDA,Samsung,SABADO,TARDE,57,HOMEM
VILA MATILDE,Samsung,SABADO,NOITE,22,MULHER
PINHEIROS,Apple,SEXTA,NOITE,25,MULHER
BRAS,Apple,QUARTA,MANHA,65,MULHER
GRAJAU,Apple,QUINTA,MADRUGADA,27,MULHER
INTERLAGOS,Motorola,SEGUNDA,MANHA,35,HOMEM
IPIRANGA,Apple,TERCA,NOITE,45,HOMEM
CAMPO LIMPO,Samsung,SEGUNDA,NOITE,33,HOMEM
CAPAO REDONDO,Motorola,SEXTA,NOITE,41,MULHER
CONSOLACAO,Apple,QUARTA,NOITE,36,MULHER
MOEMA,Apple,QUINTA,NOITE,18,HOMEM
JARDIM ANGELA,Motorola,SEXTA,MADRUGADA,22,HOMEM
MOEMA,Apple,SABADO,NOITE,64,MULHER
CIDADE ADEMAR,Samsung,SEXTA,MANHA,20,HOMEM
SAO RAFAEL,Samsung,TERCA,NOITE,28,HOMEM
RAPOSO TAVARES,Apple,DOMINGO,NOITE,31,MULHER
JARDIM GUARUJA,Apple,QUARTA,NOITE,27,HOMEM
CONJUNTO HABITACIONAL FAZENDA DO CARMO,Motorola,QUINTA,MANHA,27,MULHER
BUTANTA,Motorola,QUINTA,MANHA,22,MULHER
JARDIM PAULISTA,Apple,QUARTA,NOITE,34,MULHER
PARQUE INDEPENDENCIA,Outros,TERCA,MADRUGADA,56,MULHER
BELA VISTA,Apple,SEXTA,MANHA,57,MULHER
PINHEIROS,Samsung,SABADO,NOITE,29,HOMEM
CIDADE ADEMAR,Motorola,DOMINGO,NOITE,40,MULHER
JARDIM PONTE RASA,Motorola,QUARTA,MADRUGADA,82,MULHER
JARDIM SONIA INGA,Samsung,TERCA,NOITE,23,MULHER
CAMPO LIMPO,Motorola,SABADO,NOITE,27,HOMEM
GRAJAU,Apple,SABADO,MANHA,19,MULHER
MORUMBI,Apple,QUARTA,MANHA,49,MULHER
REPUBLICA,Apple,SABADO,MANHA,16,HOMEM
JABAQUARA,Samsung,TERCA,NOITE,52,HOMEM
CAMPO LIMPO,Xiaomi,SEXTA,MADRUGADA,36,MULHER
MORUMBI,Apple,SABADO,NOITE,40,MULHER
CAPAO REDONDO,Samsung,SEXTA,MANHA,51,HOMEM
CONSOLACAO,Apple,SABADO,TARDE,38,MULHER
BURGO PAULISTA,Motorola,TERCA,MADRUGADA,42,MULHER
GRAJAU,Samsung,SEGUNDA,NOITE,54,HOMEM
VILA PRUDENTE,Samsung,TERCA,TARDE,20,HOMEM
PIRITUBA,Samsung,SEXTA,NOITE,20,MULHER
LAPA,Nokia,DOMINGO,MADRUGADA,25,HOMEM
CIDADE ADEMAR,Outros,SEXTA,TARDE,37,MULHER
PARELHEIROS,Samsung,SABADO,NOITE,23,HOMEM
SAO MIGUEL,Motorola,DOMINGO,MADRUGADA,79,HOMEM
VILA MARIANA,Apple,SEXTA,NOITE,37,MULHER
CARRAO,Apple,QUARTA,NOITE,26,MULHER
CIDADE LIDER,Samsung,TERCA,NOITE,36,MULHER
JARDIM VILA FORMOSA,Samsung,SABADO,NOITE,74,HOMEM
PARI,Samsung,SABADO,NOITE,30,HOMEM
PLANALTO PAULISTA,Samsung,QUINTA,MANHA,61,HOMEM
PINHEIROS,Samsung,SEXTA,MADRUGADA,53,HOMEM
VILA ANDRADE,Samsung,SEXTA,TARDE,56,HOMEM
AGUA RASA,Samsung,DOMINGO,NOITE,15,HOMEM
IPIRANGA,Apple,DOMINGO,NOITE,30,MULHER
REPUBLICA,Motorola,SABADO,MADRUGADA,40,MULHER
CIDADE ADEMAR,Motorola,SEGUNDA,MADRUGADA,72,HOMEM
PINHEIROS,Outros,QUINTA,MANHA,61,MULHER
MORUMBI,Samsung,SEGUNDA,NOITE,72,HOMEM
JARDIM GUARANI,Xiaomi,TERCA,TARDE,32,HOMEM
BELA VISTA,Xiaomi,SEXTA,NOITE,33,HOMEM
ITAIM PAULISTA,Samsung,QUARTA,MANHA,52,MULHER
BELA VISTA,Apple,DOMINGO,TARDE,79,MULHER
JARDIM ANGELA,Samsung,QUINTA,NOITE,36,HOMEM
VILA CURUCA,Motorola,QUINTA,TARDE,19,MULHER
MANDAQUI,Apple,TERCA,TARDE,57,HOMEM
BELA VISTA,Apple,SEXTA,MANHA,44,HOMEM
GRAJAU,Motorola,TERCA,MANHA,32,HOMEM
CIDADE ADEMAR,Motorola,SEXTA,MANHA,29,HOMEM
CAMPO LIMPO,Samsung,SEXTA,NOITE,15,MULHER
LIBERDADE,Motorola,SABADO,NOITE,84,MULHER
SANTANA,Samsung,QUINTA,NOITE,49,MULHER
VILA CAMPANELA,Samsung,QUINTA,TARDE,23,MULHER
CAMPO LIMPO,Apple,QUINTA,NOITE,56,MULHER
CAMPO BELO,Apple,SEXTA,NOITE,31,HOMEM
VILA MARIA,Apple,SEXTA,MADRUGADA,25,HOMEM
VILA MARIA,Apple,DOMINGO,MANHA,43,MULHER
JARDIM BOA VISTA (ZONA OESTE),Xiaomi,SEXTA,MADRUGADA,31,MULHER
CAMPO LIMPO,Motorola,QUARTA,MANHA,28,HOMEM
ITAQUERA,Motorola,DOMINGO,MADRUGADA,23,HOMEM
ITAIM BIBI,Apple,QUINTA,NOITE,38,MULHER
ITAIM BIBI,Apple,QUINTA,NOITE,15,HOMEM
JABAQUARA,Outros,TERCA,MADRUGADA,22,MULHER
VILA MARIA,Outros,QUARTA,MANHA,46,MULHER
CIDADE ADEMAR,Motorola,SEGUNDA,TARDE,28,MULHER
ALTO DA MOOCA,Xiaomi,QUINTA,TARDE,25,HOMEM
BELA VISTA,Apple,TERCA,NOITE,47,HOMEM
SANTO AMARO,Motorola,QUARTA,MADRUGADA,31,HOMEM
SE,Motorola,TERCA,MANHA,38,MULHER
LIBERDADE,Outros,QUARTA,NOITE,25,MULHER
CONSOLACAO,Apple,SABADO,MADRUGADA,41,MULHER
JARDIM ANGELA,Motorola,TERCA,NOITE,21,MULHER
REPUBLICA,Motorola,QUINTA,MANHA,34,HOMEM
BOM RETIRO,Samsung,TERCA,NOITE,36,MULHER
PENHA,Samsung,QUINTA,NOITE,21,HOMEM
VILA CELESTE,Motorola,QUARTA,MANHA,27,HOMEM
VILA CHUCA,Motorola,QUINTA,MANHA,25,HOMEM
CANGAIBA,Motorola,SEXTA,NOITE,46,HOMEM
REPUBLICA,Apple,QUINTA,MANHA,23,MULHER
FREGUESIA DO O,Outros,TERCA,TARDE,49,MULHER
LIBERDADE,Samsung,SEXTA,NOITE,62,MULHER
BARRA FUNDA,Apple,QUINTA,MANHA,22,MULHER
CIDADE ADEMAR,Samsung,QUARTA,NOITE,22,HOMEM
JARDIM VISTA LINDA,Samsung,SABADO,TARDE,65,HOMEM
CASA VERDE,Apple,SEXTA,MANHA,74,MULHER
VILA CORDEIRO,Xiaomi,SABADO,MADRUGADA,44,HOMEM
JARDIM PAULISTA,Apple,TERCA,NOITE,20,HOMEM
SACOMA,Apple,SEXTA,TARDE,38,HOMEM
LAJEADO,Motorola,TERCA,MANHA,66,MULHER
MOOCA,Apple,SABADO,NOITE,16,HOMEM
FREGUESIA DO O,Xiaomi,TERCA,NOITE,52,MULHER
JARDIM IPE,Xiaomi,TERCA,NOITE,18,MULHER
BELA VISTA,Samsung,SABADO,NOITE,35,HOMEM
INDIANOPOLIS,Apple,TERCA,MANHA,36,MULHER
CAPAO REDONDO,LG,SEXTA,MADRUGADA,62,HOMEM
CANINDE,Samsung,QUARTA,NOITE,43,HOMEM
REPUBLICA,Apple,SEXTA,NOITE,28,HOMEM
SAO MIGUEL,Samsung,QUINTA,TARDE,18,HOMEM
PARELHEIROS,Samsung,TERCA,MADRUGADA,52,HOMEM
INSTITUTO DE PREVIDENCIA,Motorola,SEXTA,MANHA,43,MULHER
BOM RETIRO,Apple,SABADO,TARDE,19,MULHER
SAUDE,Apple,QUARTA,NOITE,20,MULHER
VILA CURUCA,Apple,TERCA,NOITE,63,HOMEM
VILA NORMA,Samsung,QUINTA,TARDE,21,MULHER
JARDIM DOMITILA,Xiaomi,SEXTA,NOITE,30,HOMEM
VILA ANDRADE,Apple,DOMINGO,MADRUGADA,25,MULHER
BARRA FUNDA,Xiaomi,QUARTA,NOITE,16,MULHER
CAPAO REDONDO,Samsung,SEXTA,NOITE,80,MULHER
JARDIM UMUARAMA,Samsung,SEXTA,MANHA,50,HOMEM
GRAJAU,Motorola,SEGUNDA,MADRUGADA,46,HOMEM
JD SAO LUIS,Samsung,QUINTA,MANHA,72,HOMEM
VILA ALPINA,Motorola,TERCA,NOITE,69,HOMEM
CIDADE DUTRA,Samsung,TERCA,MANHA,34,HOMEM
CIDADE TIRADENTES,Samsung,QUINTA,NOITE,18,MULHER
VILA FORMOSA,Motorola,QUINTA,MADRUGADA,62,HOMEM
ITAQUERA,Samsung,SABADO,MADRUGADA,33,MULHER
CAMPO GRANDE,Samsung,TERCA,TARDE,33,HOMEM
JOSE BONIFACIO,Motorola,QUARTA,TARDE,56,HOMEM
REPUBLICA,Apple,SABADO,NOITE,20,MULHER
LAPA,Xiaomi,QUINTA,TARDE,23,MULHER
BELA VISTA,Apple,QUARTA,NOITE,49,MULHER
CENTRO HISTORICO DE SAO PAULO,Outros,SEXTA,NOITE,35,MULHER
CONSOLACAO,Apple,QUINTA,TARDE,53,HOMEM
SACOMA,Samsung,SEGUNDA,MANHA,22,HOMEM
VILA FORMOSA,Xiaomi,SEGUNDA,MANHA,38,HOMEM
JACANA,Outros,SEXTA,TARDE,30,MULHER
IPIRANGA,Apple,TERCA,MANHA,31,HOMEM
VILA ALMEIDA,Outros,SABADO,NOITE,40,MULHER
ARTUR ALVIM,Motorola,DOMINGO,MADRUGADA,51,HOMEM
VILA FIAT LUX,Asus,TERCA,NOITE,29,HOMEM
QUINTA DA PAINEIRA,Apple,QUINTA,MANHA,56,HOMEM
SANTANA,Samsung,SEXTA,TARDE,52,MULHER
JARDIM PAULISTA,Samsung,DOMINGO,MADRUGADA,21,MULHER
PINHEIROS,Apple,TERCA,NOITE,23,MULHER
VILA CURUCA,Motorola,SEXTA,MANHA,22,HOMEM
JARDIM VISTA LINDA,Motorola,QUARTA,NOITE,20,HOMEM
PIRITUBA,Outros,SEGUNDA,MANHA,53,HOMEM
PARQUE TAIPAS,Motorola,QUARTA,TARDE,23,MULHER
CAMPO GRANDE,Samsung,SABADO,MANHA,15,MULHER
ERMELINO MATARAZZO,Motorola,DOMINGO,NOITE,30,MULHER
VILA IOLANDA II,Motorola,SEXTA,NOITE,36,HOMEM
CIDADE AUXILIADORA,Motorola,SABADO,NOITE,37,MULHER
MOEMA,Apple,SEXTA,TARDE,47,HOMEM
LAPA,Motorola,SABADO,NOITE,16,MULHER
CAPAO REDONDO,Samsung,DOMINGO,NOITE,27,MULHER
CAMPO LIMPO,Samsung,SEGUNDA,NOITE,36,MULHER
VILA CARRAO,Samsung,SABADO,TARDE,20,HOMEM
CIDADE ADEMAR,Apple,QUINTA,TARDE,50,MULHER
VILA MARIANA,Motorola,QUARTA,MADRUGADA,47,MULHER
ITAIM BIBI,Xiaomi,SABADO,NOITE,20,MULHER
VILA BUENOS AIRES,Samsung,SEGUNDA,NOITE,44,MULHER
MOEMA,Samsung,SEXTA,MANHA,37,MULHER
AGUA RASA,Apple,SABADO,NOITE,18,HOMEM
IPIRANGA,Samsung,QUINTA,TARDE,46,HOMEM
SACOMA,Apple,SABADO,TARDE,50,MULHER
JARDIM VERA CRUZ,Samsung,SEXTA,NOITE,21,HOMEM
TATUAPE,Apple,TERCA,NOITE,68,HOMEM
PARI,Samsung,QUARTA,NOITE,41,MULHER
SAO LUCAS,Apple,SABADO,NOITE,18,MULHER
BELA VISTA,Samsung,TERCA,TARDE,25,HOMEM
CHACARA NOSSA SENHORA DO BOM CONSELHO,Motorola,SEGUNDA,NOITE,22,HOMEM
ITAIM BIBI,Apple,SABADO,MANHA,21,HOMEM
PINHEIROS,Apple,SEGUNDA,NOITE,65,HOMEM
CIDADE TIRADENTES,Motorola,TERCA,TARDE,30,HOMEM
ALTO DE PINHEIROS,Apple,TERCA,MANHA,26,MULHER
ARICANDUVA,Outros,QUARTA,NOITE,40,MULHER
FREGUESIA DO O,Samsung,SEXTA,TARDE,43,HOMEM
CAMPO LIMPO,Xiaomi,SEXTA,NOITE,46,MULHER
LIBERDADE,Apple,DOMINGO,MANHA,72,HOMEM
BARRA FUNDA,LG,QUARTA,MANHA,36,MULHER
INDIANOPOLIS,Apple,QUARTA,TARDE,25,HOMEM
CONJUNTO RESIDENCIAL JOSE BONIFACIO,Motorola,SEGUNDA,MANHA,57,HOMEM
LIBERDADE,Motorola,SEXTA,NOITE,55,HOMEM
BARRA FUNDA,Apple,QUINTA,NOITE,22,HOMEM
PENHA,Xiaomi,SABADO,NOITE,35,MULHER
ITAIM PAULISTA,Motorola,SABADO,TARDE,22,MULHER
SE,Samsung,SEXTA,NOITE,22,HOMEM
VILA GUILHERME,Motorola,SEXTA,NOITE,54,HOMEM
REPUBLICA,Samsung,SEXTA,MADRUGADA,28,MULHER
JARDIM BOA VISTA (ZONA OESTE),Samsung,DOMINGO,TARDE,83,MULHER
CAMPO GRANDE,LG,TERCA,MANHA,38,HOMEM
VILA MARARI,Samsung,QUARTA,TARDE,42,HOMEM
PEDREIRA,Motorola,SABADO,TARDE,25,HOMEM
VILA NOVA MAZZEI,Samsung,QUARTA,NOITE,55,HOMEM
JACANA,Outros,TERCA,NOITE,45,MULHER
CIDADE LIDER,Motorola,QUARTA,TARDE,42,HOMEM
SANTO AMARO,Motorola,TERCA,MADRUGADA,23,HOMEM
SAPOPEMBA,Apple,SEGUNDA,MADRUGADA,34,MULHER
SANTO AMARO,Apple,DOMINGO,TARDE,57,MULHER
TREMEMBE,Motorola,SEXTA,NOITE,52,HOMEM
ARTUR ALVIM,Outros,QUINTA,MANHA,16,HOMEM
PERDIZES,Motorola,TERCA,MANHA,23,MULHER
VILA SONIA,Apple,DOMINGO,MADRUGADA,73,MULHER
GUAIANASES,Samsung,SEXTA,TARDE,38,HOMEM
JARDIM SYDNEY,Motorola,QUARTA,MANHA,47,HOMEM
SANTA IFIGENIA,Apple,QUARTA,NOITE,51,HOMEM
CIDADE LIDER,Apple,QUARTA,NOITE,42,MULHER
GUAIANASES,Motorola,TERCA,MADRUGADA,28,MULHER
JARDIM PEDRA BRANCA,Motorola,SEXTA,MANHA,38,MULHER
VILA MARIANA,Apple,TERCA,NOITE,82,HOMEM
PERDIZES,Apple,QUINTA,MADRUGADA,55,MULHER
SE,Outros,SABADO,NOITE,20,HOMEM
BRASILANDIA,Outros,SEGUNDA,TARDE,18,HOMEM
VILA MARIA,Samsung,SEXTA,MADRUGADA,18,HOMEM
VILA GUILHERME,Samsung,SEGUNDA,TARDE,31,MULHER
CENTRO HISTORICO DE SAO PAULO,Motorola,QUARTA,NOITE,76,HOMEM
VILA MARIANA,Apple,DOMINGO,MANHA,22,MULHER
SE,Apple,TERCA,MANHA,31,MULHER
ITAIM BIBI,Apple,SEGUNDA,NOITE,44,MULHER
JARDIM VERGUEIRO (SACOMA),Samsung,QUINTA,NOITE,15,MULHER
VILA MARIANA,Apple,QUINTA,TARDE,31,MULHER
BARRA FUNDA,Samsung,SEGUNDA,NOITE,82,HOMEM
SACOMA,Samsung,QUINTA,NOITE,61,MULHER
CAMBUCI,Apple,QUINTA,MANHA,55,MULHER
BELA VISTA,Motorola,SEGUNDA,MANHA,35,MULHER
BARRA FUNDA,Xiaomi,QUINTA,MADRUGADA,21,HOMEM
PARQUE ARTUR ALVIM,Samsung,SEGUNDA,MANHA,55,MULHER
GUAIANASES,Xiaomi,SEXTA,NOITE,29,HOMEM
MOOCA,Outros,SEXTA,TARDE,80,HOMEM
TUCURUVI,Samsung,QUARTA,TARDE,21,MULHER
CIDADE DUTRA,Motorola,TERCA,NOITE,22,HOMEM
PARQUE ARTUR ALVIM,Samsung,SEXTA,MADRUGADA,52,MULHER
CAMPO LIMPO,Motorola,DOMINGO,NOITE,79,MULHER
VILA PRUDENTE,Samsung,QUARTA,NOITE,33,HOMEM
